match_minute	match_second	position_x	position_y	play_type	BodyPart	Number_Intervening_Opponents	Number_Intervening_Teammates	Interference_on_Shooter	outcome	position_xM	position_yM	position_xM_r	position_yM_r	position_xM_std	position_yM_std	position_xM_std_r	position_yM_std_r	BodyPartCode	Interference_on_Shooter_Code	distance_to_goalM	distance_to_centerM	angle	isFoot	isHead	header_distance_to_goalM	High	Low	Medium
72	58	11.72	12.97	Open Play	Left	4	0	Low	Blocked	41.28	13.00058962264151	-41.28	-13.00058962264151	94.28	47.00058962264151	147.28	81.00058962264151	1	1	17.50353480118613	13.00058962264151	47.96541690772769	1	0	0.0	0	1	0
65	32	11.72	13.22	Open Play	Left	2	0	Medium	Missed	41.28	13.251179245283016	-41.28	-13.251179245283016	94.28	47.25117924528302	147.28	81.25117924528303	1	2	17.690453679615437	13.251179245283016	48.50886129148789	1	0	0.0	0	0	1
39	50	24.69	0.75	Open Play	Left	2	0	Medium	Blocked	28.31	0.7517688679245282	-28.31	-0.7517688679245282	81.31	34.751768867924525	134.31	68.75176886792453	1	2	24.70144239575456	0.7517688679245282	1.744021047151313	1	0	0.0	0	0	1
74	6	22.2	15.71	Open Play	Right	3	0	Low	Saved	30.8	15.747051886792452	-30.8	-15.747051886792452	83.8	49.74705188679245	136.8	83.74705188679245	2	1	27.217818485788563	15.747051886792452	35.349094165545765	1	0	0.0	0	1	0
47	59	27.93	-33.92	Open Play	Right	2	0	Low	Missed	25.07	-34.0	-25.07	34.0	78.07	0.0	131.07	34.0	2	1	44.00096476215038	34.0	50.597901902028354	1	0	0.0	0	1	0
19	13	6.98	-4.24	Open Play	Right	1	0	Medium	Goal	46.02	-4.25	-46.02	4.25	99.02	29.75	152.01999999999998	63.75	2	2	8.172080518448167	4.25	31.33650450830017	1	0	0.0	0	0	1
91	20	6.48	-4.74	Open Play	Head	3	0	Medium	Saved	46.52	-4.751179245283019	-46.52	4.751179245283019	99.52	29.24882075471698	152.51999999999998	63.24882075471698	3	2	8.03517916544542	4.751179245283019	36.24911826271557	0	1	8.03517916544542	0	0	1
90	47	10.47	-18.45	Open Play	Right	2	0	Medium	Missed	42.53	-18.4935141509434	-42.53	18.4935141509434	95.53	15.506485849056602	148.53	49.5064858490566	2	2	21.25161089543905	18.4935141509434	60.48387196311706	1	0	0.0	0	0	1
52	21	9.23	2.49	Open Play	Head	6	0	High	Blocked	43.77	2.495872641509434	-43.77	-2.495872641509434	96.77	36.49587264150944	149.76999999999998	70.49587264150944	3	3	9.56149989502878	2.495872641509434	15.13140053855519	0	1	9.56149989502878	1	0	0
44	48	31.42	-5.49	Open Play	Left	3	1	Low	Missed	21.58	-5.502948113207547	-21.58	5.502948113207547	74.58	28.49705188679245	127.58	62.49705188679245	1	1	31.89825760032442	5.502948113207547	9.934115623277563	1	0	0.0	0	1	0
